e_wavolm;4027
	k_torodar;0
		d_luyuith;0
			c_telashe;0
			c_renina;0
			c_kuigang;0
		d_senohn;0
			c_rodith;0
			c_denata;0
			c_retath;0
			c_tinir;0
		d_amahirma;0
			c_demila;0
			c_atars;0
			c_edinett;0
			c_edeslav;0
		d_rirahor;0
			c_laumohn;0
			c_kocofan;0
			c_daxina;0
		d_taumath;0
			c_kashe;0
			c_qinett;0
			c_kaud;0
			c_luohore;0
	k_echofan;0
		d_ketisey;0
			c_rocada;0
			c_terodar;0
			c_dorisey;0
		d_webonkan;0
			c_qebelen;0
			c_ticida;0
			c_sebilvia;0
		d_rareh;0
			c_tyaa;0
			c_locuda;0
			c_sebeszek;0
			c_ameronia;0
		d_sicupta;0
			c_ropluk;0
			c_ewigisey;0
			c_neszek;0
		d_kozarn;0
			c_aralick;0
			c_ricida;0
			c_apratigo;0
		d_kilila;0
			c_navila;0
			c_nemios;0
			c_koronia;0
			c_rocilvia;0
	k_toceslav;0
		d_rouree;0
			c_woet;0
			c_turosi;0
			c_qictor;0
		d_wilonso;0
			c_laudah;0
			c_kawwa;0
		d_qadolf;0
			c_qadick;0
			c_kemazan;0
			c_adosi;0
		d_rehio;0
			c_sitree;0
			c_kouree;0
			c_kaudona;0
		d_edehigo;0
			c_wetuda;0
			c_qurofia;0
			c_azdofia;0
			c_ludyoah;0
		d_naudonso;0
			c_kilila;0
			c_weikada;0
			c_raudonso;0
			c_ligo;0
		d_talonso;0
			c_lodonso;0
			c_lavaric;0
			c_wilars;0
			c_bick;0
		d_asvitare;0
			c_wetupta;0
			c_tadeszek;0
		d_touree;0
			c_enorada;0
			c_dilvia;0
			c_deikapa;0
			c_bocapa;0
			c_rocapa;0
	k_teikada;0
		d_rituma;0
			c_raudila;0
			c_toer;0
			c_lehonso;0
			c_sadila;0
			c_epratah;0
		d_evacars;0
			c_lemars;0
			c_bavazan;0
			c_socilvia;0
		d_doudou;0
			c_batio;0
			c_lutoer;0
			c_nisarte;0
			c_ehilick;0
		d_naneke;0
			c_tarirma;0
			c_ejutirma;0
			c_titigo;0
	k_ninalli;0
		d_retisey;0
			c_tabalia;0
			c_serida;0
			c_exapa;0
		d_qadofan;0
			c_ladeszek;0
			c_adopluk;0
			c_nadaye;0
			c_wocuslan;0
			c_neikida;0
		d_rocada;0
			c_rocofan;0
			c_qaxolman;0
			c_nocopluk;0
		d_toceszek;0
			c_nebada;0
			c_wadisey;0
		d_echeszek;0
			c_sadeszek;0
			c_kadaye;0
			c_exida;0
			c_qenedek;0
			c_kodett;0
		d_teocah;0
			c_lyia;0
			c_badenku;0
			c_teruda;0
	k_rimoti;0
		d_nonocia;0
			c_konocia;0
			c_tojan;0
			c_nelonda;0
		d_rabojan;0
			c_tavada;0
			c_nyesalan;0
			c_raboti;0
			c_lojan;0
		d_keiralli;0
			c_rurict;0
			c_wuedari;0
			c_baditya;0
	k_wonda;0
		d_tabijari;0
			c_ticenku;0
			c_ninory;0
			c_ragine;0
			c_ebarasi;0
			c_wari;0
		d_nita;0
			c_kadari;0
			c_wagict;0
			c_karolir;0
		d_tabijict;0
			c_nadari;0
			c_alari;0
			c_etugun;0
			c_ruedid;0
			c_qunugun;0
		d_abodasi;0
			c_quedict;0
			c_sagari;0
			c_dari;0
			c_karari;0
			c_laxeszek;0
		d_burari;0
			c_esid;0
			c_dimaine;0
			c_dimasi;0
			c_esict;0
	k_reiritya;0
		d_runict;0
			c_rawar;0
			c_bemari;0
			c_avimalir;0
			c_nurict;0
			c_wagawar;0
		d_wabada;0
			c_qurugun;0
			c_kelalli;0
			c_wabijari;0
			c_bada;0
	k_sakashe;0
		d_kicaye;0
			c_kamomo;0
			c_kelet;0
			c_kamaret;0
			c_elenett;0
		d_remugun;0
			c_atenenku;0
			c_toulith;0
		d_radusoy;0
			c_kodina;0
			c_qaxoshua;0
			c_deszek;0
	k_egronda;0
		d_qadaret;0
			c_taduslaw;0
			c_epetipe;0
			c_koulith;0
			c_ketenku;0
		d_asoparet;0
			c_epierohn;0
			c_elenith;0
			c_tinohn;0
			c_qida;0
		d_docapa;0
			c_edabel;0
			c_seszek;0
			c_nocilvia;0
		d_rorofan;0
			c_atenaye;0
			c_bicusoy;0
			c_liconia;0
		d_timaari;0
			c_tieruda;0
			c_wofuda;0
			c_tida;0
		d_belalan;0
			c_kadada;0
			c_epavita;0
			c_binanka;0
		d_alict;0
			c_kurict;0
			c_taxuslan;0
			c_qunawar;0
	k_samelet;0
		d_enuhenku;0
			c_amang;0
			c_aidelet;0
		d_wenipe;0
			c_bashe;0
			c_qaxudah;0
			c_lore;0
			c_wetath;0
		d_qabijari;0
			c_turict;0
			c_senohn;0
			c_kuyuath;0
			c_kagoshua;0
e_sedina;0
	k_detodha;0
		d_budaham;0
			c_kuda;0
			c_naguda;0
			c_dagemid;0
			c_tyaseph;0
		d_tugodha;0
			c_telodha;0
			c_ebafsah;0
			c_bayasavi;0
			c_kyasemid;0
		d_tijah;0
			c_wamiek;0
			c_dudemid;0
	k_lapahou;0
		d_wahou;0
			c_esirve;0
			c_kerella;0
		d_byugush;0
			c_bulia;0
			c_rulia;0
		d_tuda;0
			c_rit;0
			c_aljirve;0
			c_ryagaar;0
			c_arugeer;0
			c_qudera;0
		d_wusahpar;0
			c_banulev;0
			c_rukutt;0
		d_kudei;0
			c_tigit;0
			c_lukutt;0
			c_lalutt;0
	k_qarana;0
		d_ryugahou;0
			c_tonalev;0
			c_korilja;0
			c_lit;0
			c_tonutt;0
		d_kuda;0
			c_tudakub;0
			c_sukalev;0
			c_qorutt;0
			c_nigalev;0
		d_nabdahou;0
			c_tanalev;0
			c_wabdiho;0
			c_kiglas;0
			c_ragit;0
		d_taar;0
			c_nudeeme;0
			c_kigeeme;0
			c_bidush;0
	k_tudelen;0
		d_dinirca;0
			c_rabona;0
			c_runilen;0
			c_wanudna;0
			c_kisona;0
		d_ditush;0
			c_abunolk;0
			c_daurirca;0
			c_wanaide;0
			c_kinomo;0
			c_atelomo;0
		d_tegakub;0
			c_sagaway;0
			c_tomaway;0
			c_ralona;0
			c_kauraut;0
		d_wit;0
			c_wedohn;0
			c_kauragh;0
		d_kebeer;0
			c_lagijse;0
			c_nanakan;0
			c_arert;0
			c_kabush;0
			c_qedatzak;0
		d_asidella;0
			c_nudiho;0
			c_rigakub;0
			c_wutt;0
		d_qanander;0
			c_laurirca;0
			c_tedilen;0
			c_daraut;0
			c_linael;0
			c_tanudna;0
		d_qomatko;0
			c_qauratko;0
			c_nisolk;0
			c_ruam;0
			c_bedilen;0
			c_ruaide;0
		d_wanaut;0
			c_kisikne;0
			c_kaurolk;0
			c_tunatko;0
			c_tedona;0
			c_telael;0
		d_siosigid;0
			c_lavofan;0
			c_kedona;0
			c_qibaut;0
			c_ravana;0
			c_ratelen;0
		d_kiwael;0
			c_rauratko;0
			c_tedaide;0
			c_wanaslav;0
			c_karecco;0
		d_warikne;0
			c_emarolk;0
			c_wedael;0
			c_qunaut;0
		d_tavera;0
			c_tukalev;0
			c_tedulia;0
			c_ranirve;0
			c_budulia;0
			c_begohn;0
		d_rataclav;0
			c_agilja;0
			c_ragelen;0
			c_nebush;0
		d_ryugilja;0
			c_susarqan;0
			c_tukeeme;0
			c_lera;0
		d_roriho;0
			c_tagars;0
			c_tanagh;0
			c_komilen;0
			c_dodich;0
			c_qomakan;0
			c_abijse;0
	k_sarana;0
		d_toralev;0
			c_sosutt;0
			c_siglas;0
			c_nukeeme;0
		d_titutt;0
			c_tuvven;0
			c_tudilja;0
			c_kalalev;0
		d_tella;0
			c_sush;0
			c_seraar;0
			c_diniho;0
		d_suijei;0
			c_reeme;0
			c_norutt;0
			c_qirve;0
	k_sareer;0
		d_tegert;0
			c_etomakub;0
			c_lauratun;0
			c_sodush;0
			c_lodagh;0
			c_raurush;0
		d_simars;0
			c_wedaway;0
			c_womush;0
			c_qagaway;0
			c_tedijse;0
			c_emammad;0
		d_qimaway;0
			c_achacohn;0
			c_qabdalev;0
			c_ekanakan;0
		d_kagijse;0
			c_sisatko;0
			c_niwaut;0
			c_balaut;0
			c_kagatun;0
		d_qoralev;0
			c_rayars;0
			c_sacard;0
		d_qanaway;0
			c_banecco;0
			c_atomomo;0
			c_tomisak;0
			c_saurudna;0
			c_taurirca;0
	k_rabaide;0
		d_ejayajse;0
			c_winaut;0
			c_banaide;0
			c_lagirca;0
		d_domard;0
			c_ranael;0
			c_sinirca;0
			c_womomo;0
		d_komomo;0
			c_qomomo;0
			c_kanecco;0
			c_tuarca;0
			c_nelaide;0
			c_tomatko;0
		d_edatzak;0
			c_siwaut;0
			c_bedecco;0
			c_delona;0
			c_lomatko;0
